,Palavra,Categoria gramatical,Fonética
0,a,artigo,a
1,a,preposição,a
2,á-bê-cê,nome masculino,ˌa.bˌe.sˈe
3,a-pro·pó·si·to,nome masculino,a.pɾo.pˈɔ.zi.tʊ
4,à-von·ta·de,nome masculino,ˌa.võ.tˈa.dʒi
5,a·a,nome feminino,a.ˈa
6,a·al,nome masculino,a.ˈaw
7,ab-re·a·ti·vo,adjetivo,ab.xi.a.tʃˈi.vʊ
8,ab-ro·ga·do,adjetivo,ab.xo.gˈa.dʊ
9,ab-ro·ga·dor,adjetivo,ab.xo.ga.dˈoɾ
10,ab-ro·ga·dor,nome masculino,ab.xo.ga.dˈoɾ
11,ab-ro·gar,verbo,ab.xo.gˈaɾ
12,ab-ro·ga·tó·ri·o,adjetivo,ab.xo.ga.tˈɔ.ɾjʊ
13,a·ba,nome masculino,ˈa.bə
14,a·ba,nome feminino,ˈa.bə
15,a·ba·can·to,nome masculino,a.ba.kˈə̃.tʊ
16,a·ba·ca·te,adjetivo,a.ba.kˈa.tʃi
17,a·ba·ca·te,nome masculino,a.ba.kˈa.tʃi
18,a·ba·ca·te,nome feminino,a.ba.kˈa.tʃi
19,a·ba·ca·xi,adjetivo,a.ba.ka.ʃˈi
20,a·ba·ca·xi,nome masculino,a.ba.ka.ʃˈi
21,a·ba·ci·al,adjetivo,a.ba.sjˈaw
22,á·ba·co,nome masculino,ˈa.ba.kʊ
23,a·ba·da,nome feminino,a.bˈa.də
24,a·ba·dá·gi·o,nome masculino,a.ba.dˈa.ʒjʊ
25,a·ba·dar,verbo,a.ba.dˈa
26,a·ba·de,nome masculino,a.bˈa.dʒi
27,a·ba·de·jo,nome masculino,a.ba.dˈe.ʒʊ
28,a·ba·des·sa,nome feminino,a.ba.dˈe.sə
29,a·ba·des·sar,verbo,a.ba.de.sˈa
30,a·ba·di·a,nome feminino,a.ba.dʒˈi.jə
31,a·ba·di·a·do,nome masculino,a.ba.dʒjˈa.dʊ
32,a·ba·di·ar,verbo,a.ba.dʒjˈa
33,a·ba·dir,nome masculino,a.ba.dʒˈiɾ
34,a·ba·do,adjetivo,a.bˈa.dʊ
35,a·ba·fa·da·men·te,advérbio,a.ba.fa.da.mˈẽj.tʃi
36,a·ba·fa·do,adjetivo,a.ba.fˈa.dʊ
37,a·ba·fa·do,nome masculino,a.ba.fˈa.dʊ
38,a·ba·fa·dor,nome masculino,a.ba.fa.dˈoɾ
39,a·ba·fa·dor,adjetivo,a.ba.fa.dˈoɾ
40,a·ba·fa·men·to,nome masculino,a.ba.fa.mˈẽj.tʊ
41,a·ba·fan·te,adjetivo,a.ba.fˈə̃.tʃi
42,a·ba·far,nome masculino,a.ba.fˈaɾ
43,a·ba·far,verbo,a.ba.fˈa
44,a·ba·fá·vel,adjetivo,a.ba.fˈa.vew
45,a·ba·fo,nome masculino,a.bˈa.fʊ
46,a·bai·xa,nome feminino,a.bˈaj.ʃə
47,a·bai·xa·do,adjetivo,a.baj.ʃˈa.dʊ
48,a·bai·xa·men·to,nome masculino,a.baj.ʃa.mˈẽj.tʊ
49,a·bai·xar,verbo,a.baj.ʃˈa
50,a·bai·xo,advérbio,a.bˈaj.ʃʊ
51,a·bai·xo-as·si·na·do,nome masculino,a.bˌaj.ʃʊ.a.si.nˈa.dʊ
52,a·ba·jou·ja·do,adjetivo,a.ba.ʒo.ʒˈa.dʊ
53,a·ba·jou·jar,verbo,a.ba.ʒo.ʒˈaɾ
54,a·ba·jur,nome masculino,a.ba.ʒˈuɾ
55,a·ba·la·da,nome feminino,a.ba.lˈa.də
56,a·ba·la·do,adjetivo,a.ba.lˈa.dʊ
57,a·ba·lan·ça·do,adjetivo,a.ba.lə̃.sˈa.dʊ
58,a·ba·lan·çar,verbo,a.ba.lə̃.sˈa
59,a·ba·lar,verbo,a.ba.lˈa
60,a·bal·ça·do,adjetivo,a.baw.sˈa.dʊ
61,a·bal·çar,verbo,a.baw.sˈaɾ
62,a·ba·li·e·na·ção,nome feminino,a.ba.li.e.na.sˈə̃w
63,a·ba·li·e·na·do,adjetivo,a.ba.li.e.nˈa.dʊ
64,a·ba·li·e·nar,verbo,a.ba.li.e.nˈaɾ
65,a·ba·li·e·ná·vel,adjetivo,a.ba.li.e.nˈa.vew
66,a·ba·lis·tar,verbo,a.ba.lis.tˈaɾ
67,a·ba·li·za·da·men·te,advérbio,a.ba.li.za.da.mˈẽj.tʃi
68,a·ba·li·za·do,adjetivo,a.ba.li.zˈa.dʊ
69,a·ba·li·zar,verbo,a.ba.li.zˈa
70,a·ba·lo,nome masculino,a.bˈa.lʊ
71,a·ba·lo·ne,nome masculino,a.ba.lˈɔ.ni
72,a·bal·ro·a,nome feminino,a.baw.rˈo.ə
73,a·bal·ro·a·da,nome feminino,a.baw.ro.ˈa.də
74,a·bal·ro·a·do,adjetivo,a.baw.ro.ˈa.dʊ
75,a·bal·ro·a·men·to,nome masculino,a.baw.ro.a.mˈẽj.tʊ
76,a·bal·ro·ar,verbo,a.baw.ro.ˈa
77,a·ba·lu·ar·ta·do,adjetivo,a.ba.lwaɾ.tˈa.dʊ
78,a·ba·lu·ar·tar,verbo,a.ba.lwaɾ.tˈa
79,a·ba·ma,nome feminino,a.bˈə.mə
80,a·ba·na·do,adjetivo,a.ba.nˈa.dʊ
81,a·ba·na·na·do,adjetivo,a.ba.na.nˈa.dʊ
82,a·ba·na·nar,verbo,a.ba.na.nˈa
83,a·ba·não,nome masculino,a.ba.nˈə̃w
84,a·ba·nar,verbo,a.ba.nˈa
85,a·ban·ca·do,adjetivo,a.bə̃.kˈa.dʊ
86,a·ban·car,verbo,a.bə̃.kˈa
87,a·ban·da·lha·da·men·te,advérbio,a.bə̃.da.ʎa.da.mˈẽj.tʃi
88,a·ban·da·lha·do,adjetivo,a.bə̃.da.ʎˈa.dʊ
89,a·ban·da·lha·men·to,nome masculino,a.bə̃.da.ʎa.mˈẽj.tʊ
90,a·ban·da·lhar,verbo,a.bə̃.da.ʎˈa
91,a·ban·dar,verbo,a.bə̃.dˈa
92,a·ban·do·na·da,nome feminino,a.bə̃.do.nˈa.də
93,a·ban·do·na·da·men·te,advérbio,a.bə̃.do.na.da.mˈẽj.tʃi
94,a·ban·do·na·do,adjetivo,a.bə̃.do.nˈa.dʊ
95,a·ban·do·na·do,nome masculino,a.bə̃.do.nˈa.dʊ
96,a·ban·do·nar,verbo,a.bə̃.do.nˈa
97,a·ban·do·no,nome masculino,a.bə̃.dˈo.nʊ
98,a·ba·ni·car,verbo,a.ba.ni.kˈa
99,a·ba·ni·co,nome masculino,a.ba.nˈi.kʊ
100,a·ba·no,nome masculino,a.bˈə.nʊ
101,a·ban·te,adjetivo,a.bˈə̃.tʃi
102,a·ban·te,nome masculino,a.bˈə̃.tʃi
103,a·ban·te,nome feminino,a.bˈə̃.tʃi
104,a·bar,verbo,a.bˈa
105,a·bar·ca,nome feminino,a.bˈaɾ.kə
106,a·bar·ca·do,adjetivo,a.baɾ.kˈa.dʊ
107,a·bar·can·te,adjetivo,a.baɾ.kˈə̃.tʃi
108,a·bar·can·te,nome masculino,a.baɾ.kˈə̃.tʃi ou a.baɾ.kˈə̃.tʃi
109,a·bar·car,verbo,a.baɾ.kˈa
110,a·bar·cá·vel,adjetivo,a.baɾ.kˈa.vew
111,a·bar·ga,nome feminino,a.bˈaɾ.gə
112,a·bar·quei·ro,nome masculino,a.baɾ.kˈej.ɾʊ
113,a·bar·ra·ca·do,adjetivo,a.ba.xa.kˈa.dʊ
114,a·bar·ra·ca·men·to,nome masculino,a.ba.xa.ka.mˈẽj.tʊ
115,a·bar·ra·car,verbo,a.ba.xa.kˈa
116,a·bar·ran·ca·men·to,nome masculino,a.ba.xə̃.ka.mˈẽj.tʊ
117,a·bar·ran·car,verbo,a.ba.xə̃.kˈaɾ
118,a·bar·ro·ta·do,adjetivo,a.ba.xo.tˈa.dʊ
119,a·bar·ro·tar,verbo,a.ba.xo.tˈa
120,a·bar·ti·cu·la·ção,nome feminino,a.baɾ.tʃi.ku.la.sˈə̃w
121,a·bar·ti·cu·lar,adjetivo,a.baɾ.tʃi.ku.lˈaɾ
122,a·bar·tro·se,nome feminino,a.baɾ.tɾˈɔ.zi
123,a·bas·ta·da·men·te,advérbio,a.bas.ta.da.mˈẽj.tʃi
124,a·bas·ta·do,adjetivo,a.bas.tˈa.dʊ
125,a·bas·tan·ça,nome feminino,a.bas.tˈə̃.sə
126,a·bas·tar,verbo,a.bas.tˈa
127,a·bas·tar·da·da·men·te,advérbio,a.bas.taɾ.da.da.mˈẽj.tʃi
128,a·bas·tar·da·do,adjetivo,a.bas.taɾ.dˈa.dʊ
129,a·bas·tar·da·men·to,nome masculino,a.bas.taɾ.da.mˈẽj.tʊ
130,a·bas·tar·dar,verbo,a.bas.taɾ.dˈa
131,a·bas·te·ce·dor,adjetivo,a.bas.te.se.dˈoɾ
132,a·bas·te·ce·dor,nome masculino,a.bas.te.se.dˈoɾ
133,a·bas·te·ce·do·ra,nome feminino,a.bas.te.se.dˈo.ɾə
134,a·bas·te·cer,verbo,a.bas.te.sˈe
